Barcode	SDB	Type	Reference	Test.CPM	Test_SD	Control.CPM	Control_SD	logFC	F	PValue	QValue
LNT-NAc-[920]	SDB42	LCA PBS	Streptavidin	1525.22751516735	242.080231330316	827.649990497663	155.152827442279	0.881931770202857	7.08190929139796	0.0154658528242732	0.0321404046259319
LNT-NAc-[920]	SDB42	LCA HEPES	Streptavidin	1440.77986696861	184.334507524461	828.875377414061	155.152827442279	0.797622814806689	9.34919455719424	0.015465503418153	0.0321404046259319
LNT-NAc-[920]	SDB42	PSA PBS	Streptavidin	2174.91403414237	541.717037091961	826.212713589932	155.152827442279	1.39637321261815	20.3406960513405	0.000185948313320201	0.000597691007100646
LNT-NAc-[920]	SDB42	PSA HEPES	Streptavidin	939.162195863619	569.695268978069	827.124136570852	155.152827442279	0.183270468327523	0.207131872960001	0.649404562917801	0.736957651419813
LNT-NAc-[920]	SDB42	SBA PBS	Streptavidin	6873.05158241346	2281.61025380061	826.206595665163	155.152827442279	3.05637630437625	160.747591849792	6.33886449773231e-15	2.69985929278241e-13
LNT-NAc-[920]	SDB42	SBA HEPES	Streptavidin	2035.85052732879	23.7731007344705	824.063587476049	155.152827442279	1.30480407231504	34.1878015308441	2.74264723528794e-06	1.47875450013221e-05
LNT-NAc-[920]	SDB42	ACG PBS	Streptavidin	1891.02417888208	203.037235884551	823.687740848693	155.152827442279	1.19899838789266	33.4505639901609	6.45431473588013e-06	3.17291942898309e-05
LNT-NAc-[920]	SDB42	ACG HEPES	Streptavidin	2148.02457018302	119.112618390782	823.633197050213	155.152827442279	1.38293661070858	38.0811662084041	5.80217187432448e-08	4.74723153353821e-07
LNT-NAc-[920]	SDB42	NPL PBS	Streptavidin	2729.38637705106	276.152200089389	824.02258235534	155.152827442279	1.72782085953367	52.4520044534418	4.9933017215461e-12	1.04324339539445e-10
LNT-NAc-[920]	SDB42	NPL HEPES	Streptavidin	1832.00934039867	567.077183276312	824.644848979882	155.152827442279	1.15158202834092	18.9637793039546	6.23115300173042e-05	0.000224321508062295
LNT-NAc-[920]	SDB42	MAL PBS	Streptavidin	1305.98457322655	307.639293366051	826.985024800012	155.152827442279	0.659204745183625	5.04067997791471	0.0390049001015274	0.0720943651165672
LNT-NAc-[920]	SDB42	MAL HEPES	Streptavidin	2122.34570437188	284.811776817793	823.704519917518	155.152827442279	1.36546086255532	36.3596528479808	8.15201513048385e-06	3.86148085128182e-05
LNT-NAc-[920]	SDB42	UEA PBS	Streptavidin	1232.58224667976	64.6672043617501	824.72815658937	155.152827442279	0.57969334893772	5.84127298017188	0.0252225257907521	0.0498485729310472
LNT-NAc-[920]	SDB42	UEA HEPES	Streptavidin	737.477433420617	307.580321668501	826.362556755391	155.152827442279	-0.164175981830627	0.239024214320815	0.631696208009849	0.719653907859322
LNT-NAc-[920]	SDB42	SNA PBS	Streptavidin	1234.27298410806	21.241439466793	823.712522962844	155.152827442279	0.583448683184863	7.75196730824603	0.0116454074700578	0.0251850771533597
LNT-NAc-[920]	SDB42	SNA HEPES	Streptavidin	1780.58741063697	1025.81465127583	825.335213997252	155.152827442279	1.10930115938015	11.4478943973494	0.00672585381679614	0.0157070837637754
Lec-[1000]	SDB67	CTb PBS	Streptavidin	2378.95673424606	673.26854833706	1444.15529976472	282.825696824218	0.7201031406077	5.34567384812883	0.0423545269633596	0.0775505423272781
Lec-[1000]	SDB67	CTb HEPES	Streptavidin	1158.46780646188	59.0032783156947	1443.3925201019	282.825696824218	-0.317245730995911	0.938642548294434	0.335163178173051	0.436196794730222
Lec-[1000]	SDB67	LCA PBS	Streptavidin	2807.00092182474	232.953209339636	1443.27465298493	282.825696824218	0.959683668993883	12.9083668684627	0.0019513353114506	0.00520059752710068
Lec-[1000]	SDB67	LCA HEPES	Streptavidin	1991.53731072435	663.169445683421	1443.76436787338	282.825696824218	0.464047204488191	2.45667418355416	0.155312012944512	0.225452922016227
Lec-[1000]	SDB67	PSA PBS	Streptavidin	1516.28307524396	562.143363534079	1442.78712242433	282.825696824218	0.0716806641881585	0.0514542885333003	0.822713754827754	0.875864506959483
Lec-[1000]	SDB67	PSA HEPES	Streptavidin	2281.05932675206	206.751769370732	1442.84348846807	282.825696824218	0.660789156471294	4.28027476905011	0.0395454930814235	0.0729782758758131
Lec-[1000]	SDB67	SBA PBS	Streptavidin	13625.0183491916	4047.50510549189	1442.94305212346	282.825696824218	3.23917190483158	170.899770734098	1.96253327582008e-15	9.56734971962291e-14
Lec-[1000]	SDB67	SBA HEPES	Streptavidin	3757.84749433092	345.853817515663	1441.99397643978	282.825696824218	1.38184138058806	50.1387097862814	1.04230940062965e-07	8.07617217706415e-07
Lec-[1000]	SDB67	ACG PBS	Streptavidin	4922.31476531755	155.607626122534	1441.49381887181	282.825696824218	1.77177226562865	94.8852127890701	1.07916763173538e-09	1.37241970557652e-08
Lec-[1000]	SDB67	ACG HEPES	Streptavidin	3407.89542401909	400.867967710339	1441.45092243497	282.825696824218	1.24135934740676	37.655677795087	6.64113283454834e-08	5.39592042807053e-07
Lec-[1000]	SDB67	NPL PBS	Streptavidin	4242.23413023226	32.8550246795387	1441.65281489857	282.825696824218	1.55710047554484	59.2796085886418	2.86391081918835e-13	8.81783068013254e-12
Lec-[1000]	SDB67	NPL HEPES	Streptavidin	3250.96002717667	310.788597716499	1441.78089655406	282.825696824218	1.17301387832456	28.320451750673	2.18477164703963e-06	1.21146105546747e-05
Lec-[1000]	SDB67	MAL PBS	Streptavidin	1839.46197860929	289.412768320877	1443.03909544456	282.825696824218	0.35017346985688	1.87059485167303	0.190020190112361	0.269483178704803
Lec-[1000]	SDB67	MAL HEPES	Streptavidin	3421.90372567298	361.322186541989	1441.38726149394	282.825696824218	1.2473411701161	37.128236388346	7.12410000618792e-06	3.44429628398342e-05
Lec-[1000]	SDB67	UEA PBS	Streptavidin	1674.59157193132	34.721098408562	1442.18894693229	282.825696824218	0.215549079102555	0.944077811891938	0.342715979135955	0.442092277385961
Lec-[1000]	SDB67	UEA HEPES	Streptavidin	1478.91460425082	36.2694909762788	1442.27230143285	282.825696824218	0.0361951789482569	0.0192983343896874	0.891287490370934	0.9236548837325
Lec-[1000]	SDB67	SNA PBS	Streptavidin	1408.47898149742	26.9856464757232	1441.67357813037	282.825696824218	-0.0336065136352265	0.0283631748183263	0.86799594627034	0.907556083231723
Lec-[1000]	SDB67	SNA HEPES	Streptavidin	3152.40704243208	1179.46865484331	1442.55574256809	282.825696824218	1.12782676137028	20.2559041864338	0.00107333849244638	0.00295483773214651
Di-Lex-[490]	SDB48	CTb PBS	Streptavidin	2116.61570690495	261.616935307903	2119.47225828532	300.211743885158	-0.00194572594763498	4.96051591325536e-05	0.994513390756638	0.996846884220423
Di-Lex-[490]	SDB48	CTb HEPES	Streptavidin	4963.5145511403	1428.83941801666	2129.21773522015	300.211743885158	1.2210385335246	21.354527433954	1.23767666292277e-05	5.59104901783645e-05
Di-Lex-[490]	SDB48	LCA PBS	Streptavidin	3819.56807539274	725.223054011743	2121.58318968544	300.211743885158	0.848268255116443	13.6066527566619	0.00156919930096398	0.00424991477344411
